year,state,births,region,percent,topFive
1910,AK,115,West,0.02,"['Mary', 'Annie', 'Anna', 'Margaret', 'John']"
1910,AL,19694,South,3.81,"['James', 'Annie', 'John', 'William', 'Willie']"
1910,AZ,1074,West,0.21,"['Mary', 'John', 'Maria', 'Manuel', 'Alice']"
1910,AR,11042,South,2.14,"['Mary', 'James', 'William', 'John', 'Ruby']"
1910,CA,9164,West,1.77,"['Mary', 'Helen', 'John', 'Dorothy', 'William']"
1910,CO,3609,West,0.70,"['Mary', 'Helen', 'John', 'Dorothy', 'Ruth']"
1910,CT,4512,Northeast,0.87,"['Mary', 'Helen', 'Anna', 'John', 'Joseph']"
1910,DE,690,South,0.13,"['Mary', 'Margaret', 'Helen', 'William', 'Elizabeth']"
1910,FL,6614,South,1.28,"['Mary', 'James', 'John', 'Willie', 'William']"
1910,GA,24589,South,4.76,"['Mary', 'James', 'Willie', 'John', 'William']"
1910,HI,572,West,0.11,"['Mary', 'John', 'Helen', 'Alice', 'Rose']"
1910,ID,1089,West,0.21,"['Mary', 'John', 'Dorothy', 'Helen', 'William']"
1910,IL,26650,Midwest,5.16,"['Helen', 'John', 'Dorothy', 'Margaret', 'Mildred']"
1910,IN,10161,Midwest,1.97,"['Mary', 'Helen', 'Ruth', 'Dorothy', 'Mildred']"
1910,IA,7890,Midwest,1.53,"['Helen', 'Mary', 'Dorothy', 'Mildred', 'Ruth']"
1910,KS,6971,Midwest,1.35,"['Mary', 'Helen', 'Dorothy', 'Ruth', 'John']"
1910,KY,15213,South,2.95,"['Mary', 'James', 'William', 'John', 'Anna']"
1910,LA,14551,South,2.82,"['Mary', 'John', 'James', 'Joseph', 'Willie']"
1910,ME,2471,Northeast,0.48,"['Mary', 'Helen', 'Dorothy', 'Ruth', 'Margaret']"
1910,MD,7003,South,1.36,"['Mary', 'Margaret', 'John', 'James', 'Helen']"
1910,MA,15261,Northeast,2.96,"['John', 'Helen', 'Margaret', 'Dorothy', 'Alice']"
1910,MI,12070,Midwest,2.34,"['Helen', 'Mary', 'Margaret', 'Dorothy', 'Ruth']"
1910,MN,8181,Midwest,1.58,"['Mary', 'Helen', 'Margaret', 'Dorothy', 'John']"
1910,MS,16902,South,3.27,"['Mary', 'James', 'John', 'Willie', 'Annie']"
1910,MO,15909,Midwest,3.08,"['Mary', 'William', 'Helen', 'John', 'Dorothy']"
1910,MT,1353,West,0.26,"['Mary', 'Helen', 'Margaret', 'John', 'William']"
1910,NE,4931,Midwest,0.96,"['Mary', 'Helen', 'Ruth', 'Dorothy', 'Margaret']"
1910,NV,67,West,0.01,"['William', 'John', 'Mary', 'Robert', 'Mildred']"
1910,NH,1153,Northeast,0.22,"['Mary', 'Dorothy', 'Alice', 'Helen', 'Lillian']"
1910,NJ,12317,Northeast,2.39,"['Mary', 'Helen', 'John', 'Anna', 'Margaret']"
1910,NM,1607,West,0.31,"['Mary', 'Jose', 'Joe', 'John', 'Frank']"
1910,NY,48149,Northeast,9.33,"['Helen', 'John', 'Anna', 'Margaret', 'Joseph']"
1910,NC,19074,South,3.69,"['Mary', 'James', 'William', 'John', 'Annie']"
1910,ND,2973,Midwest,0.58,"['Mary', 'Margaret', 'Alice', 'Helen', 'Anna']"
1910,OH,21126,Midwest,4.09,"['Helen', 'Dorothy', 'Ruth', 'Margaret', 'John']"
1910,OK,10510,South,2.04,"['Mary', 'John', 'William', 'Ruth', 'Ruby']"
1910,OR,1943,West,0.38,"['John', 'Dorothy', 'Mary', 'William', 'Helen']"
1910,PA,45214,Northeast,8.76,"['Anna', 'John', 'Elizabeth', 'Joseph', 'Dorothy']"
1910,RI,1896,Northeast,0.37,"['Mary', 'John', 'Helen', 'Joseph', 'Margaret']"
1910,SC,14983,South,2.90,"['Mary', 'James', 'John', 'Annie', 'William']"
1910,SD,2370,Midwest,0.46,"['Helen', 'Mary', 'John', 'Ruth', 'Dorothy']"
